ID,balance_to_date,pay_model,account_number_fk,employeeID
"1","609.20","annually","1","0"
"2","2.00","bi-anually","2","0"
"3","96.40","quarterly","3","85"
"4","222.80","monthly","4","178"
"5","802.30","quarterly","5","103"
"6","124.15","monthly","6","184"
"7","858.40","quarterly","7","173"
"8","32.60","annually","8","39"
"9","28.88","monthly","9","0"
"10","442.78","bi-anually","10","165"
"11","22.00","annually","11","144"
"12","227.76","bi-anually","12","81"
"13","343.56","annually","13","168"
"14","346.75","bi-anually","14","69"
"15","222.76","monthly","15","74"
"16","646.39","quarterly","16","40"
"17","1222.80","bi-anually","17","57"
"18","78.98","quarterly","18","57"
"19","28.00","annually","19","9"
"20","282.34","annually","20","76"
"21","848.25","monthly","21","0"
"22","15.28","quarterly","22","66"
"23","299.68","quarterly","23","92"
"24","1029.79","annually","24","185"
"25","569.77","annually","25","0"
"26","1087.10","bi-anually","26","0"
"27","408.48","quarterly","27","70"
"28","428.28","monthly","28","106"
"29","728.89","monthly","29","125"
"30","1127.70","annually","30","0"
"31","543.76","quarterly","31","48"
"32","654.20","monthly","32","175"
"33","14.00","bi-anually","33","108"
"34","444.35","quarterly","34","0"
"35","23.28","bi-anually","35","21"
"36","919.44","quarterly","36","21"
"37","1054.05","annually","37","32"
"38","112.75","annually","38","166"
"39","2.00","bi-anually","39","0"
"40","574.20","monthly","40","0"
"41","1017.20","bi-anually","41","0"
"42","247.18","bi-anually","42","143"
"43","267.16","bi-anually","43","109"
"44","1833.20","bi-anually","44","44"
"45","686.95","annually","45","0"
"46","118.00","annually","46","0"
"47","498.79","monthly","47","0"
"48","185.40","annually","48","0"
"49","1506.84","bi-anually","49","26"
"50","225.67","quarterly","50","117"
"51","1355.24","monthly","51","76"
"52","126.61","bi-anually","52","0"
"53","448.24","monthly","53","0"
"54","236.04","annually","54","142"
"55","1116.97","monthly","55","190"
"56","1485.99","annually","56","191"
"57","273.04","monthly","57","57"
"58","701.91","bi-anually","58","96"
"59","353.68","annually","59","0"
"60","635.57","annually","60","4"
"61","841.91","bi-anually","61","22"
"62","109.29","monthly","62","0"
"63","1618.75","bi-anually","63","93"
"64","0.00","bi-anually","64","10"
"65","9.28","bi-anually","65","91"
"66","26.34","quarterly","66","0"
"67","221.90","quarterly","67","15"
"68","84.80","annually","68","52"
"69","124.54","annually","69","0"
"70","1460.86","annually","70","118"
"71","457.36","annually","71","78"
"72","145.92","bi-anually","72","0"
"73","417.68","bi-anually","73","45"
"74","290.56","quarterly","74","182"
"75","59.69","monthly","75","101"
"76","134.00","monthly","76","138"
"77","664.30","bi-anually","77","14"
"78","546.93","quarterly","78","0"
"79","68.70","quarterly","79","0"
"80","209.93","quarterly","80","168"
"81","295.66","bi-anually","81","29"
"82","133.08","bi-anually","82","100"
"83","0.00","quarterly","83","97"
"84","14.00","bi-anually","84","0"
"85","98.16","bi-anually","85","200"
"86","55.38","annually","86","53"
"87","21.70","bi-anually","87","7"
"88","366.25","annually","88","33"
"89","402.94","monthly","89","0"
"90","282.80","annually","90","15"
"91","32.00","monthly","91","0"
"92","637.48","bi-anually","92","0"
"93","409.60","bi-anually","93","55"
"94","1573.68","quarterly","94","28"
"95","462.08","bi-anually","95","147"
"96","65.73","monthly","96","103"
"97","587.09","monthly","97","98"
"98","82.00","annually","98","0"
"99","2333.95","bi-anually","99","179"
"100","95.72","quarterly","100","160"
"101","147.76","quarterly","101","0"
"102","0.00","quarterly","102","0"
"103","915.78","bi-anually","103","131"
