negotiated_rate_ID,ground_rate,air_rate,rush_rate,dim_rating_break,employeeID
"1","8.0","12.0","2.5","150","0"
"2","7.19","12.0","2.5","150","85"
"3","8.0","10.71","2.5","150","178"
"4","8.0","12.0","2.35","150","103"
"5","8.0","12.0","2.5","344","184"
"6","5.81","11.24","2.5","150","173"
"7","7.6","12.0","2.36","150","39"
"8","6.39","12.0","2.5","304","165"
"9","8.0","11.71","1.97","150","144"
"10","8.0","11.23","2.5","247","81"
"11","8.0","12.0","2.21","342","168"
"12","6.1","11.61","2.02","150","69"
"13","5.61","11.72","2.5","251","74"
"14","6.11","12.0","1.77","385","40"
"15","8.0","10.89","1.77","353","57"
"16","6.69","11.87","1.77","339","57"
"17","6.52","12.0","2.5","150","9"
"18","8.0","11.37","2.5","150","76"
"19","8.0","12.0","2.37","150","66"
"20","8.0","12.0","2.5","272","92"
"21","6.19","11.03","2.5","150","185"
"22","7.18","12.0","2.05","150","70"
"23","7.21","12.0","2.5","213","106"
"24","8.0","10.96","1.83","150","125"
"25","8.0","10.81","2.5","219","48"
"26","8.0","12.0","2.03","300","175"
"27","6.78","11.26","1.97","150","108"
"28","7.08","11.47","2.5","365","21"
"29","7.77","12.0","2.19","374","21"
"30","8.0","11.19","1.77","327","32"
"31","7.76","11.56","1.94","302","166"
"32","6.85","12.0","2.5","150","143"
"33","8.0","10.82","2.5","150","109"
"34","8.0","12.0","2.08","150","44"
"35","8.0","12.0","2.5","324","26"
"36","6.14","11.09","2.5","150","117"
"37","7.71","12.0","2.36","150","76"
"38","6.67","12.0","2.5","302","142"
"39","8.0","10.58","2.04","150","190"
"40","8.0","10.76","2.5","293","191"
"41","8.0","12.0","2.08","287","57"
"42","5.57","10.8","2.23","150","96"
"43","6.2","10.71","2.5","332","4"
"44","5.89","12.0","2.24","333","22"
"45","8.0","11.0","2.34","378","93"
"46","5.54","11.69","2.29","239","10"
"47","6.83","12.0","2.5","150","91"
"48","8.0","11.88","2.5","150","15"
"49","8.0","12.0","2.19","150","52"
"50","8.0","12.0","2.5","300","118"
"51","5.56","11.14","2.5","150","78"
"52","7.42","12.0","1.95","150","45"
"53","7.87","12.0","2.5","376","182"
"54","8.0","11.52","1.93","150","101"
"55","8.0","10.53","2.5","325","138"
"56","8.0","12.0","1.86","252","14"
"57","7.28","10.51","2.07","150","168"
