ID,date,time,employee_ID_fk,Location_ID_fk,account_number_fk,package_serial_fk
1,42652,0.8138888889,657,TOT0MYPN2PLK,131,B9IWEA
2,42652,0.9486111111,429,VP3PPNPBUZSH,131,B9IWEA
3,42653,0.1902777778,1159,HWPLPKNB96J4,131,B9IWEA
4,42653,0.4180555556,337,VHVDPVP78EK8,131,B9IWEA
5,42653,0.6743055556,579,TDRZJ51PYNDL,131,B9IWEA
6,43131,0.5638888889,1061,TOPPB24PGBF5,135,51M6X4
7,43131,0.83125,875,VMP1HGMLPJGR,135,51M6X4
8,43132,0.06875,1025,TDCPDXG4D4EA,135,51M6X4
9,42984,0.8291666667,780,TOPW51LPJFEP,337,F3X430
10,42984,0.9833333333,1028,VPPKJSPGMR80,337,F3X430
11,42985,0.1493055556,1079,HLNMH3NPTP2F,337,F3X430
12,42985,0.2652777778,762,VRPB87MPMP07,337,F3X430
13,42985,0.4347222222,1178,TDAPRPP7MMPT,337,F3X430
14,41858,0.6111111111,738,TONCG43P5LCV,565,27ILUU
15,41858,0.8180555556,343,VFM4LUENPBC1,565,27ILUU
16,41859,0.02152777778,207,H5S5PGUUPGB1,565,27ILUU
17,41859,0.2465277778,961,V9XWUJPBBM4P,565,27ILUU
18,41859,0.4743055556,651,TDLKG8SVCTB1,565,27ILUU
19,41558,0.8506944444,1083,TOP7SPMWPDVR,129,K24JUO
20,41559,0.1034722222,1197,V1MXAPPMPM0H,129,K24JUO
21,41559,0.3048611111,1102,TDSKJ7PXMKV3,129,K24JUO
22,42094,0.03958333333,988,TOSMMB9PPLEN,197,KZ6N9H
23,42094,0.2006944444,250,VCRPPPJAWPUJ,197,KZ6N9H
24,42094,0.4006944444,469,HBNPKBMJLZKH,197,KZ6N9H
25,42094,0.5847222222,1035,VJWPFP1B4PLP,197,KZ6N9H
26,42094,0.8652777778,721,TDWN4JMGU98U,197,KZ6N9H
27,42186,0.5243055556,1188,TOPDWPPKPPSP,181,YWRZ4U
28,42186,0.7770833333,1122,HAM7GS3P5FZ6,181,YWRZ4U
29,42186,0.9270833333,217,VVZP8DPNPKY4,181,YWRZ4U
30,42187,0.1090277778,634,TDXKG0DPYRGV,181,YWRZ4U
31,42860,0.3361111111,355,TOEMBPSPMD8Y,280,GZXQO2
32,42860,0.5819444444,597,HPTVHP7DPPPE,280,GZXQO2
33,42860,0.7020833333,237,VW4P8PPM0ELT,280,GZXQO2
34,42860,0.8090277778,991,TDC2PSNJ0F09,280,GZXQO2
35,41773,0.90625,847,TOGLVDENPZDN,432,UPKU4N
36,41774,0.1520833333,1023,H9PPLVBMF9PX,432,UPKU4N
37,41774,0.3625,435,VZTP2GWUFA1V,432,UPKU4N
38,41774,0.5284722222,441,TDK9HL6LPVKU,432,UPKU4N
39,43155,0.008333333333,275,TOMF73T9K5YP,303,I206VY
40,43155,0.1840277778,989,HPZWBN5P7LCX,303,I206VY
41,43155,0.3319444444,921,V5JPPEVZPPW3,303,I206VY
42,43155,0.5402777778,252,TDP90GPPDPRN,303,I206VY
43,42740,0.7381944444,760,TOBXPVUZTFVT,232,JDSN4T
44,42740,0.9138888889,767,VPPPKNJP4P0D,232,JDSN4T
45,42741,0.03611111111,487,TDPMJNUPCPPJ,232,JDSN4T
46,42197,0.7645833333,277,TO90NPFL6PMF,564,STZZU2
47,42197,0.8993055556,753,H7PYAGE2PDM6,564,STZZU2
48,42198,0.1097222222,401,VGN4PHATCNG3,564,STZZU2
49,42198,0.2833333333,1168,TDRPLSLHA3BP,564,STZZU2
50,41437,0.4861111111,648,TO520FXRLWR6,321,VZ8G1C
51,41437,0.7131944444,1128,HAEVMJ5FP70N,321,VZ8G1C
52,41437,0.98125,765,VJAHPJE4PEUP,321,VZ8G1C
53,41438,0.1986111111,243,TD7TPP7PT19V,321,VZ8G1C
54,42970,0.5944444444,436,TOWYL4DZB9MP,290,9LVWVQ
55,42970,0.7854166667,406,V5H1AS3MYUNM,290,9LVWVQ
56,42971,0.02569444444,355,TD5JHP26PNBE,290,9LVWVQ
57,43277,0.7131944444,413,TOUNX3PZ5EM7,331,DGPYPC
58,43277,0.8409722222,500,VF2XWNPPVWDT,331,DGPYPC
59,43278,0.04027777778,827,HEJBERPNEJYP,331,DGPYPC
60,43278,0.1340277778,883,VPLVJNPNUEJG,331,DGPYPC
61,43278,0.2583333333,318,TDXYM5Z9S2PW,331,DGPYPC
62,41699,0.575,1132,TOZANAU1PJYD,11,8UATV7
63,41699,0.7368055556,1170,VSP34GPJMCPP,11,8UATV7
64,41699,0.8493055556,711,HFBDJRP2HYNP,11,8UATV7
65,41700,0.09305555556,436,VMKYJ0KMPPG2,11,8UATV7
66,41700,0.3611111111,1179,TDRKPZ6GJ0Z4,11,8UATV7
67,41348,0.5805555556,1131,TOGPPCWBJP6L,392,93D429
68,41348,0.7416666667,1191,V0T5SPTJ2P99,392,93D429
69,41348,0.8409722222,687,TDK9HL6LPVKU,392,93D429
70,42004,0.4722222222,751,TOPPP3RKL0LV,286,XJSZ62
71,42004,0.7291666667,951,VJP6LV4LEMG1,286,XJSZ62
72,42004,0.9972222222,569,TDYCPPHL3UH8,286,XJSZ62
73,43260,0.04513888889,984,TO9FNVYP8X1E,642,2Y8NOM
74,43260,0.2180555556,958,VEP4PYPP2403,642,2Y8NOM
75,43260,0.3979166667,535,TD5790PRSPHT,642,2Y8NOM
76,42133,0.4854166667,856,TOPS5NPP8CE0,493,2YW8RG
77,42133,0.6541666667,901,V2EXJ3P92PNS,493,2YW8RG
78,42133,0.9097222222,472,TDNHMSPVGPP0,493,2YW8RG
79,43354,0.4986111111,1007,TOHLP7BWPX3P,564,IHQQ6A
80,43354,0.6541666667,874,VVFM3RNNZPLJ,564,IHQQ6A
81,43354,0.8423611111,468,HLPU8DCUPYVK,564,IHQQ6A
82,43355,0.05902777778,1185,VAH3LSPPDK20,564,IHQQ6A
83,43355,0.3048611111,834,TDPZPDPR4YPN,564,IHQQ6A
84,42142,0.5048611111,647,TONHX3PPJUKC,577,PZLPIZ
85,42142,0.6506944444,735,V7K3PJDVN53P,577,PZLPIZ
86,42142,0.8756944444,706,HGJN3J9ARPNB,577,PZLPIZ
87,42143,0.07916666667,812,VPZNLWD1UPPR,577,PZLPIZ
88,42143,0.3180555556,977,TD5SNXW5P8MX,577,PZLPIZ
89,42747,0.5618055556,983,TOKEJU5FPUJB,316,IK33DA
90,42747,0.8263888889,484,VTJLCKPGX5PP,316,IK33DA
